,content,score
477,Sir maine ye aap download kiya hai mujhe bahut accha laga bas ek improvement ki zarrorat hai aur vo hai sluggishness ko improve karna kyunki mujhe ye aap use karte samay bahut thoda sa sluggish feel hua lekin iske alawa bahut badhiyaan kaam kiya hai aap logon ne👍👍👍🤟🤟,4
478,Best Sports App 👍,5
479,Overall good but need some improvement,4
480,"Please give option to change font size , bcoz I think font size is big .",3
481,Pundai,5
482,One app all sports very good experience,4
483,Awesome app . I love it,5
484,Superb,5
485,Sports news ke liye best app hai,5
486,Cricket ki har choti badi update sports tak,5
487,Best,4
488,Good for getting updated by articles and videos. But need improvement in schedule section. It also buffer frequently. Themes is also dark. I will recommend cricbuzz. Overall average app,5
489,Excellent 👌👌👌👌,5
490,You are baest app,2
491,Poor,1
492,Very good app,5
493,good,5
494,Excellent👍👏😆,5
495,Sir kya app hai apke,5
496,Superb 👍👍,5
497,Zabardast app must download,5
498,Amazing Software,5
499,Nice but kindly add womens' cricket too 👍 And make videos playable in background or else no difference in watching on app and YouTube.,3
500,Wow very nice,5
501,Good,5
502,Nice aap,5
503,Great efforts 👌,5
504,Good,5
505,Great app,5
506,Very good 👍,5
507,It was good experience using this app I loved this aap 💗 well done 👍 team sports tak 💖,5
508,Very good,5
509,Good app,5
510,Very Good App Vikrant Gupta Sir,5
511,please add ipl matches highlights in video section,5
512,Op,5
513,Bakwas app total time waste,1
514,Bad app,1
515,0 RATING .It causes hanged my mobile ...worst app ... heating and slow down my mobile.... PLEASE DON'T DOWNLOAD....,1
516,Nyc app,5
517,nice app.,5
518,Three class,1
519,No ipl video match,1
520,Very veryVery good app....,5
521,Great app,5
522,"My mobile sports tak apps open only white screen show ,and no start. It is apps problem",1
523,Super,5
524,"Well tried, try to compete with international app like cricbuzz and espn app. Congratulations and best wishes.",5
525,outstanding,5
526,Content is good but too much glitches,2
527,This not a app this is khadda gol gol ghumta hai khali......dikhata kuch nahi...,1
528,Very disapointing not smooth in android,1
529,😍😍😘😘😘😘😘 love this app,5
530,Worst experience,1
531,Fantastic app and I thanks to vikrant sir,5
532,It's very Good App,5
533,Very good app on sports tak,5
534,I LIKE THIS APP VERY MUCH,5
535,very impressive app,5
536,Live scorecard is not working,1
537,Superb,5
538,Awesome,5
539,"Nice one, thanks to vikrant gupta for creating this app.....and your opinions is awesome...",5
540,Rubbish app,1
541,Super,5
542,India's best sporting app. Just loved it🥰,5
543,Exilent,5
544,Yah bhi sahi se Kam nahin kar raha hai av improve kar aa,1
545,Good one,4
546,Aaj tak ke naye Aagaz ko Salam,5
547,Superb 👍,5
548,"Vikrant bhai aapka sports tak YouTube pe hi sahi hai app mai nhi, bhut ganda experience hua aapke aap ko use karke , App ki quality ek toh bilkul hi third party app jaisi aur dusra isme update bhi bhut late hota hai aur App speed toh too much slow bro!",2
549,Better than expection,5
550,Looks is decent we hope fast improvement,5
551,Please provide highlights also,5
552,Vikrat is roks,5
553,Nyc,5
554,Very good spots news,4
555,bekar aap,1
556,".......,...m",5
557,Super,5
558,Nice aap,4
559,Long way to go....Ball by ball commentary needs to improve a lot more,4
560,Best app,5
561,Ultimate👌👌,5
562,Nice,5
563,Very nice aap,1
564,Good app,4
565,Sports tak aap is excellent and app is help to saw highlights of mathes very easy thanks,5
566,Good vikrant sir and your team,5
567,Good aap but much improve that's,4
568,Nice,5
569,Excellent,5
570,Very good app,5
571,Just for Vikrant... Add kamm kam jyada kro,5
572,Giving 5 star just because of Vikrant Sir.. Best analysts. Love you sir..❣,5
573,"Sports is best but only two people talksone is Vikrant Gupta and another one is rawat Rahul and others are for promotion of howzat and wining 5000 daily is the work please say something Gagan Sethi ,Anuj, rashika,and howzat official sponsor jay jaiswal",5
574,Good app,5
575,Syed Aqudas Raebarli,5
576,Ultimate sport news app,5
577,Best sports app ever ! Love you Sports Tak Family,5
578,नफरतों की दिवार ऊँची कर लो🤝 हमारे चाहने वालों की क़तार लंबी है💯,5
579,Very good and helpful app,5
580,Good,5
581,Fabulous,5
582,Worst,1
583,Good,5
584,Good,4
585,Very nice one,5
586,It's just only for men's cricket and men's football 🖕🖕,1
587,Best App for Sports News Nice,5
588,Best sports aap,5
589,Vikrant sir you are so good,5
590,Good,5
591,Very good app,5
592,Good app,5
593,Very nice😊,5
594,Number one app for sports,5
595,Best app vikrant sir,5
596,Bad,1
597,Super love this,5
598,Taking too much time to open,1
599,Nice APP,5
600,"we are not seeing Post match presentations, Press Conferences & Highlights on Sports Tak App as promised by Vikrant Gupta sir. What's the plan.",3
601,Nice👍👍,5
602,good app....but needs some fixes.. otherwise good content 👍,4
603,Go very slow and usless,1
604,Time waste.,1
605,Very good but nedd some improvement. Just love it❤❤,5
606,Bed,1
607,Highlights???,1
608,Very good app for sports 🇮🇳👍,5
609,Very bad app,1
610,"Kitna jhuth bolte hain, lakhs download kahan? Highlights match ki kahan hain?",1
611,Nice app,5
612,Amazing app,5
613,Great,5
614,Amazing application,5
615,Awesome,5
616,I love Sports Tak,5
617,Nice work,5
618,Awesome app and all sports in one app,5
619,Bad,1
620,Good job,5
621,One of the best cricketing news app...........,5
622,Good app,5
623,Gud,5
624,Good,5
625,Very good,5
626,Good one,5
627,Vikrant paji and team well done,5
628,Nice,5
629,एक दम मस्त है ऐप डाउनलोड करे,5
630,Nice,5
631,Bakwass,1
632,Awsm,5
633,Great sports app,5
634,Worst app,1
635,Cricbuzz is more better and always better.,1
636,Love it,5
637,Bab apps,1
638,Overrated,3
639,Very good app,5
640,Excellent app,4
641,Good aap,1
642,Takes too times to open any segment...,3
643,Amazing,5
644,Awesome applications 👌,5
645,What a true app,5
646,Good app use alll,5
647,Good app more update in future will available.,5
648,Awesome app 👌....,5
649,Good,5
650,Good Application,5
651,Good app for all sports lover,5
652,👍👍👍👍👍👍👍👍👍👍,5
653,Nice 🙂 app,5
654,Best app for sports coverage,5
655,Vikrat sir,5
656,Perfect,5
657,Very good app,5
658,Fantastic app superb work done by sports tak team.,5
659,Ggj,5
660,Food app,5
661,Fastest cricket app,5
662,it's a good app Yhan khel jagat se related sb kuch milta h han abbi thoda slow chlta h,3
663,Awesome 😎,5
664,"Vikrant Sir, i know there is no competition here with any other channels. But coming with an app is the answer to someone talking too much against sports tak. You have proved it in cricketing language..stats bolte hai baaki kuch nahi bolna",5
665,Only good,3
666,I love sports tkk,4
667,Amazing,5
668,A very good app. And a very happy and safe application . Sports Tak is best on best sports app.,5
